Name,Grade Level,PhysicsScore,BiologyScore,MathematicsScore,EnglishScore,SportsParticipation,SportsAchievements,ExtracurricularActivities,LeadershipRole,CareerAspiration,STEMPathway
Joseph Kamau, 9,96,78,71,55,0,County Level,Science Club,,Doctor,1
Paul Mutiso, 8,,,74,88,1,National Level,Science Club,,Artist,1
Joseph Mutua, 9,,98,100,87,0,School Level,Debate Club,Class Representative,Data Scientist,0
Lilian Kibet, 10,87,67,,,0,County Level,Drama Club,Class Representative,Pilot,1
Stephen Wamuyu, 6,79,77,81,78,0,0ne,Music Club,,Surgeon,1
Samuel Kamau, 6,52,,55,70,1,0ne,Art Club,,Surgeon,1
Rose Chirchir, 12,,92,71,96,1,School Level,Science Club,,Athlete,1
Mercy Kariuki, 12,65,86,79,64,1,County Level,Debate Club,Club Leader,Data Scientist,0
Ian Mwikali, 12,88,58,59,56,1,National Level,Debate Club,Club Leader,Engineer,1
Samuel Atieno, 12,56,55,73,95,0,School Level,Science Club,Club Leader,Data Scientist,0
Rose Mutua, 12,75,71,71,51,0,National Level,Science Club,Class Representative,Lawyer,0
Esther Mutiso, 8,87,83,64,95,0,School Level,Music Club,Class Representative,Athlete,0
Brenda Kibera, 12,54,66,64,82,0,National Level,Art Club,Club Leader,Engineer,0
Paul Wairimu, 10,72,65,,83,0,National Level,0ne,Class Representative,Artist,1
Faith Akinyi, 7,59,79,,,0,0ne,Debate Club,Club Leader,Surgeon,1
Lucy Wanjiru, 10,75,90,99,61,1,0ne,Science Club,,Lawyer,0
Rose Wanjiku, 11,58,,54,,1,0ne,0ne,Class Representative,Lawyer,1
Stephen Muthama, 6,100,100,51,77,1,0ne,Drama Club,,Lawyer,1
Henry Kariuki, 6,94,79,64,87,0,County Level,Debate Club,Club Leader,Athlete,0
Hannah Akinyi, 7,82,84,69,51,0,County Level,0ne,,Accountant,1
Mercy Achieng, 12,,77,68,91,1,School Level,0ne,Club Leader,Lawyer,1
Samuel Kiprop, 12,93,73,53,92,0,School Level,Art Club,,Engineer,1
Jacinta Simiyu, 12,76,90,65,,0,County Level,Music Club,,Pilot,1
Paul Doe, 11,61,95,75,68,0,County Level,Debate Club,Club Leader,Accountant,1
Henry Kariuki, 12,85,63,92,70,1,School Level,Art Club,,Pilot,1
Eliud Simiyu, 11,62,72,100,94,0,School Level,Drama Club,Club Leader,Accountant,0
Alex Mwikali, 10,96,100,67,75,1,County Level,Music Club,Class Representative,Data Scientist,0
Stella Kirui, 7,90,83,66,72,0,National Level,0ne,,Accountant,0
Esther Ngoya, 12,79,93,54,53,0,0ne,Science Club,,Musician,1
Samuel Chirchir, 7,68,52,84,53,1,School Level,Drama Club,Club Leader,Artist,0
Beatrice Oduor, 10,81,92,61,64,1,County Level,Music Club,,Artist,0
David Doe, 7,63,80,70,,0,National Level,Debate Club,,Athlete,1
Susan Onyango, 12,70,62,73,92,1,School Level,Drama Club,,Musician,1
Samuel Oduor, 9,99,,,66,1,County Level,Science Club,Club Leader,Pilot,1
Irene Wangechi, 7,51,88,83,63,0,0ne,Drama Club,Class Representative,Musician,0
Susan Otieno, 7,75,88,90,78,1,0ne,0ne,,Lawyer,1
Faith Chirchir, 9,60,69,,93,1,National Level,Art Club,Club Leader,Data Scientist,1
Elijah Chirchir, 9,84,61,79,73,1,National Level,Music Club,,Surgeon,0
Samuel Wamuyu, 8,82,80,57,99,0,National Level,Music Club,Club Leader,Athlete,1
Kennedy Ochieng, 6,72,58,91,75,1,County Level,Art Club,Class Representative,Pharmacist,0
Andrew Kibera, 10,,100,66,56,1,County Level,0ne,,Teacher,0
Ian Chirchir, 6,68,61,56,71,1,National Level,Art Club,Class Representative,Engineer,1
Ann Ngoya, 7,56,67,,,0,0ne,Debate Club,Class Representative,Artist,1
Sarah Chirchir, 7,87,55,55,80,1,National Level,Science Club,Club Leader,Artist,0
Esther Kiplangat, 7,50,94,70,76,0,County Level,Debate Club,,Surgeon,1
Peter Makori, 12,,100,85,74,1,National Level,Debate Club,Class Representative,Pilot,0
Rose Mutiso, 7,63,91,87,85,1,County Level,0ne,Club Leader,Data Scientist,0
Kevin Chirchir, 12,82,80,59,58,0,0ne,Drama Club,Class Representative,Doctor,0
Fredrick Wairimu, 7,77,59,60,90,0,0ne,Drama Club,Class Representative,Data Scientist,0
Jacinta Kamau, 12,89,78,60,93,0,School Level,Science Club,Club Leader,Pharmacist,0
Brenda Kariuki, 12,56,58,95,52,1,School Level,Debate Club,Club Leader,Surgeon,1
Eliud Makori, 10,96,79,99,90,1,0ne,0ne,Club Leader,Pilot,0
Mary Oduor, 7,,,77,100,1,School Level,Music Club,Club Leader,Athlete,1
Beatrice Kamau, 7,56,58,63,58,1,School Level,Music Club,Club Leader,Data Scientist,0
Alex Mutiso, 6,68,,61,96,1,County Level,Drama Club,Class Representative,Athlete,0
Esther Kibera, 10,69,95,62,90,0,National Level,Debate Club,Class Representative,Doctor,1
Peter Simiyu, 6,79,97,81,95,0,School Level,0ne,Class Representative,Engineer,0
James Davis, 6,75,74,92,87,1,0ne,0ne,Club Leader,Artist,0
Kennedy Otieno, 11,71,68,56,100,0,School Level,Science Club,Class Representative,Athlete,1
Stella Kibet, 6,94,62,84,74,0,County Level,Music Club,Class Representative,Lawyer,0
Dennis Wanjiku, 10,80,91,80,98,0,School Level,Debate Club,Club Leader,Artist,0
Hannah Simiyu, 9,100,84,50,,0,School Level,Debate Club,,Doctor,0
Rose Davis, 11,91,92,86,62,1,County Level,Drama Club,Class Representative,Pilot,0
Kennedy Wanjiku, 6,52,99,74,62,0,0ne,Art Club,,Musician,0
John Kigen, 12,78,,50,80,0,County Level,Debate Club,Class Representative,Pharmacist,1
Lucy Chirchir, 7,89,98,67,72,1,National Level,0ne,,Engineer,1
David Njoroge, 6,92,98,73,71,1,School Level,Art Club,,Engineer,1
Dorcas Kibet, 8,80,53,52,88,1,County Level,Debate Club,Class Representative,Accountant,1
Jacinta Muthama, 12,73,95,,90,0,0ne,Drama Club,,Musician,0
Mary Kilonzo, 6,70,93,80,76,1,County Level,Science Club,,Athlete,1
Sarah Atieno, 9,55,87,59,,0,0ne,Drama Club,Class Representative,Artist,0
Elijah Doe, 9,99,55,50,,1,County Level,Science Club,,Surgeon,1
John Nyakundi, 10,100,77,84,55,1,School Level,Drama Club,Club Leader,Engineer,1
Andrew Davis, 9,98,79,87,70,1,County Level,0ne,Class Representative,Accountant,0
Beatrice Nyambura, 9,77,68,80,64,1,0ne,Art Club,Club Leader,Doctor,0
Irene Mutiso, 7,61,55,56,54,0,County Level,Drama Club,,Engineer,1
Peter Ngoya, 11,77,70,69,,1,County Level,0ne,Class Representative,Pharmacist,0
Ian Nduati, 6,79,87,78,95,1,0ne,Debate Club,,Engineer,1
Faith Otieno, 7,86,51,70,60,1,0ne,0ne,,Artist,0
John Achieng, 10,88,61,74,64,1,County Level,Science Club,Club Leader,Lawyer,0
Agnes Kigen, 12,89,73,,85,0,National Level,Science Club,Class Representative,Pilot,0
Mary Oduor, 8,60,,50,97,0,County Level,Music Club,Class Representative,Surgeon,0
Stephen Koome, 10,81,67,,62,0,National Level,Art Club,Club Leader,Athlete,0
Rose Nyambura, 8,61,74,69,66,1,School Level,Drama Club,Class Representative,Artist,1
Samuel Otieno, 6,83,78,65,60,0,0ne,0ne,Class Representative,Lawyer,1
Fredrick Mutua, 6,98,,83,57,0,School Level,Science Club,Club Leader,Engineer,0
Tom Onyango, 8,,88,63,100,0,School Level,Music Club,,Artist,1
Stella Mwende, 7,92,97,72,71,1,School Level,Science Club,Club Leader,Lawyer,0
Ann Otieno, 10,98,87,78,70,0,School Level,Science Club,,Pilot,1
Peter Kiprop, 10,94,93,89,67,0,County Level,Music Club,Club Leader,Athlete,0
Francis Kimeu, 11,80,64,,64,0,School Level,Science Club,Club Leader,Doctor,1
Dorcas Makori, 6,99,57,71,95,0,National Level,Music Club,,Lawyer,1
James Davis, 11,,,50,99,0,County Level,0ne,Class Representative,Artist,1
Henry Kariuki, 11,,78,97,84,1,0ne,Art Club,Club Leader,Athlete,1
Samuel Kiplangat, 6,82,63,57,83,1,School Level,Art Club,Club Leader,Pilot,0
Stephen Nduati, 7,73,62,70,61,1,National Level,Art Club,Club Leader,Pharmacist,1
Sarah Nduati, 6,50,54,59,,1,County Level,Debate Club,Class Representative,Accountant,1
Hannah Ngoya, 10,56,63,75,69,0,School Level,Debate Club,Class Representative,Accountant,1
Joseph Ngoya, 10,,56,92,66,0,County Level,Science Club,Club Leader,Musician,1
Grace Doe, 9,67,57,100,89,1,County Level,Music Club,Class Representative,Pilot,1
Eliud Muthama, 6,58,55,77,92,0,National Level,Music Club,Class Representative,Athlete,1
Tom Mutiso, 6,60,,81,75,1,County Level,Drama Club,Club Leader,Teacher,0
Ann Ochieng, 11,99,62,58,50,1,0ne,Drama Club,,Musician,1
Ann Chebet, 8,50,75,55,91,1,County Level,Science Club,Class Representative,Artist,0
Jacinta Rono, 11,79,94,90,74,1,National Level,Drama Club,Club Leader,Lawyer,0
Lilian Atieno, 12,74,83,56,65,0,0ne,Science Club,Club Leader,Musician,1
Kennedy Onyango, 11,56,65,,50,1,County Level,Music Club,Club Leader,Athlete,0
Eliud Nyambura, 8,84,64,55,84,1,County Level,0ne,Club Leader,Artist,1
Francis Otieno, 10,,71,63,89,1,0ne,Art Club,Class Representative,Pilot,1
Brenda Kibera, 11,50,76,65,,0,0ne,0ne,,Teacher,1
Eliud Kibet, 6,65,88,79,60,0,National Level,Drama Club,Club Leader,Teacher,0
Mary Koome, 11,82,,89,,1,National Level,Science Club,,Teacher,1
Mary Mutiso, 8,76,65,76,51,0,County Level,Debate Club,Class Representative,Teacher,1
Grace Otieno, 12,78,67,94,79,1,National Level,Drama Club,Class Representative,Musician,0
Mary Rono, 8,66,81,63,91,0,School Level,0ne,Class Representative,Pharmacist,0
Dennis Mutiso, 8,,65,70,83,1,National Level,0ne,Club Leader,Data Scientist,1
Samuel Nyambura, 10,53,,78,97,1,National Level,Music Club,Class Representative,Artist,0
James Kimeu, 9,90,91,94,89,1,National Level,Art Club,Class Representative,Accountant,0
Lucy Atieno, 12,96,76,53,92,1,National Level,Science Club,Club Leader,Athlete,0
Lucy Rono, 10,90,53,66,,0,School Level,Music Club,,Artist,0
Joseph Njoroge, 7,89,,,,1,0ne,Science Club,Club Leader,Accountant,0
Ann Kamau, 12,50,92,60,91,1,County Level,Art Club,,Surgeon,1
Ian Wanjiku, 10,68,73,100,73,1,0ne,Music Club,Class Representative,Engineer,0
John Wanjiku, 10,83,59,74,74,0,0ne,Debate Club,Class Representative,Artist,0
Ann Wanjiku, 9,61,66,74,93,1,School Level,Drama Club,Club Leader,Surgeon,1
Peter Kamau, 6,90,56,60,64,1,County Level,0ne,Class Representative,Doctor,0
Jacinta Kamau, 11,81,69,60,78,0,School Level,Music Club,Class Representative,Teacher,0
Irene Chege, 12,76,72,55,61,1,County Level,Music Club,Class Representative,Accountant,1
James Kirui, 11,86,99,58,67,0,0ne,Art Club,,Musician,0
Eliud Chebet, 10,65,50,59,64,1,School Level,Debate Club,,Lawyer,1
David Davis, 6,86,57,99,65,0,0ne,Music Club,Club Leader,Artist,0
Stella Makori, 12,98,56,,93,1,County Level,Drama Club,,Teacher,1
Ian Davis, 7,77,83,78,58,0,County Level,Science Club,Class Representative,Data Scientist,1
Martin Akinyi, 12,87,82,74,77,1,0ne,Drama Club,Club Leader,Pharmacist,1
Joseph Kiprop, 10,68,96,97,52,1,National Level,0ne,,Teacher,0
Faith Kiprop, 9,68,75,98,69,0,0ne,Music Club,Club Leader,Surgeon,0
Esther Ochieng, 9,100,73,73,50,1,School Level,0ne,Class Representative,Pilot,1
Esther Simiyu, 8,51,90,53,,0,School Level,Art Club,,Musician,1
Lucy Wamuyu, 10,50,,,62,1,National Level,Music Club,Class Representative,Engineer,0
Andrew Davis, 7,67,82,77,52,0,National Level,Debate Club,Class Representative,Engineer,0
Susan Kirui, 6,61,,,,1,National Level,0ne,,Data Scientist,1
Dennis Mwende, 11,87,82,79,99,0,National Level,Music Club,Class Representative,Athlete,1
Samuel Ngoya, 11,,62,90,81,1,0ne,Art Club,Club Leader,Doctor,0
Esther Chege, 11,94,91,100,89,1,0ne,Science Club,,Data Scientist,1
Ian Juma, 11,79,93,51,77,1,0ne,0ne,,Artist,0
James Mwende, 8,,54,95,75,1,National Level,0ne,Club Leader,Athlete,0
Paul Mwikali, 11,52,86,,79,0,County Level,Science Club,,Teacher,1
Alex Ochieng, 7,80,96,,68,0,0ne,Music Club,Club Leader,Lawyer,0
Beatrice Akinyi, 9,62,69,,68,1,National Level,Art Club,,Musician,1
Grace Chege, 9,96,52,64,89,1,National Level,Music Club,Class Representative,Engineer,0
Hannah Wanjiku, 10,87,62,,91,0,0ne,Music Club,Class Representative,Artist,1
Jacinta Kamau, 10,85,91,79,75,0,School Level,0ne,Class Representative,Doctor,0
Tom Muthama, 12,53,57,93,,0,School Level,Science Club,Club Leader,Accountant,1
John Akinyi, 11,92,,95,87,1,National Level,Debate Club,,Doctor,0
Rose Kiplangat, 8,,54,59,66,1,0ne,Music Club,Class Representative,Engineer,1
Jacinta Chege, 8,96,79,,,1,National Level,Art Club,Club Leader,Doctor,1
Rose Simiyu, 12,58,52,96,75,1,School Level,Drama Club,,Surgeon,1
Henry Otieno, 7,71,67,53,55,1,0ne,Debate Club,Club Leader,Teacher,0
Stephen Wangechi, 12,63,91,87,71,1,0ne,Music Club,Class Representative,Surgeon,0
Tom Onyango, 8,75,68,,84,1,County Level,0ne,,Teacher,0
Kennedy Kiprop, 6,52,79,75,86,1,County Level,Music Club,Class Representative,Pilot,0
Lucy Kibera, 12,87,54,75,51,1,School Level,0ne,Club Leader,Artist,1
Lucy Simiyu, 9,94,80,73,64,0,School Level,Music Club,Class Representative,Teacher,0
Esther Ochieng, 6,62,54,99,51,1,County Level,Debate Club,Club Leader,Lawyer,0
Stephen Rono, 12,80,,62,91,1,National Level,Art Club,Club Leader,Musician,1
Jacinta Wanjiku, 7,59,61,68,89,1,0ne,Debate Club,Class Representative,Athlete,1
Faith Kilonzo, 10,58,62,98,57,1,School Level,Science Club,,Data Scientist,1
Susan Davis, 11,63,65,67,,1,National Level,0ne,,Engineer,1
John Mwende, 12,94,100,65,66,1,0ne,Drama Club,Class Representative,Doctor,0
Irene Otieno, 11,92,91,82,70,1,0ne,0ne,Class Representative,Engineer,1
Sarah Kilonzo, 10,99,78,,67,1,County Level,Music Club,Club Leader,Teacher,1
Henry Wanjiru, 9,90,78,74,56,1,National Level,Drama Club,Club Leader,Musician,0
Samuel Kariuki, 12,94,61,78,78,0,School Level,0ne,Class Representative,Engineer,1
Lucy Chege, 6,54,72,,58,1,0ne,Science Club,Club Leader,Musician,1
John Ngoya, 11,,87,54,,1,National Level,0ne,Club Leader,Pilot,0
Henry Kiprop, 7,94,86,95,82,1,School Level,0ne,Club Leader,Pilot,1
Samuel Juma, 9,58,95,90,82,1,School Level,Drama Club,Class Representative,Teacher,0
Esther Otieno, 6,,66,99,52,0,0ne,Art Club,,Surgeon,0
Sarah Wambui, 12,55,62,69,89,1,National Level,0ne,Club Leader,Lawyer,0
Ann Kimeu, 8,52,81,82,71,0,County Level,Drama Club,Club Leader,Teacher,0
Esther Ochieng, 8,58,51,63,58,1,County Level,Drama Club,,Lawyer,1
Jacinta Oduor, 12,78,51,81,72,1,County Level,Drama Club,Class Representative,Doctor,1
Stephen Chege, 10,82,54,82,82,0,0ne,Art Club,,Surgeon,1
Grace Kimeu, 10,62,52,77,91,0,0ne,Art Club,,Athlete,0
Joseph Achieng, 9,61,75,95,95,0,County Level,Science Club,Class Representative,Pilot,0
Samuel Otieno, 7,70,56,81,65,0,National Level,Drama Club,Club Leader,Surgeon,0
Dorcas Chebet, 6,80,90,86,84,1,0ne,Drama Club,Class Representative,Surgeon,1
Jacinta Otieno, 12,61,77,91,59,0,School Level,Art Club,,Accountant,0
Martin Kibera, 6,,60,95,69,1,County Level,Drama Club,Class Representative,Pilot,1
Nelson Koome, 12,73,52,95,,1,School Level,Music Club,Class Representative,Data Scientist,0
Ian Otieno, 12,99,59,76,96,0,0ne,Drama Club,Club Leader,Teacher,0
Brenda Nyakundi, 9,51,84,78,67,1,National Level,Debate Club,Club Leader,Artist,1
Fredrick Otieno, 11,81,50,71,85,1,School Level,0ne,Class Representative,Data Scientist,1
John Simiyu, 10,82,,90,86,0,School Level,Debate Club,Class Representative,Doctor,0
Ian Wambui, 12,86,83,85,78,0,County Level,0ne,Club Leader,Pilot,0
Nelson Nyakundi, 9,64,75,,82,0,School Level,Science Club,,Artist,0
Kennedy Njoroge, 12,,75,85,87,1,School Level,Science Club,Class Representative,Athlete,1
Ann Kimeu, 12,88,65,61,60,1,National Level,Music Club,Club Leader,Lawyer,0
Brenda Wairimu, 12,91,76,83,69,1,County Level,Debate Club,,Doctor,0
Lilian Oduor, 9,76,99,50,,1,0ne,Debate Club,Class Representative,Surgeon,1
Henry Mwikali, 11,80,50,88,87,0,County Level,Debate Club,Class Representative,Teacher,1
Ann Nyambura, 10,86,85,56,51,1,National Level,0ne,Club Leader,Accountant,1
Mary Atieno, 12,62,83,60,75,1,National Level,Drama Club,Club Leader,Lawyer,1
Brenda Ochieng, 11,89,94,99,83,0,National Level,Debate Club,Class Representative,Lawyer,0
Hannah Juma, 8,76,84,,65,0,National Level,0ne,Club Leader,Doctor,1
Mercy Rono, 10,78,52,79,80,1,National Level,0ne,,Accountant,1
David Wamuyu, 11,53,77,83,79,1,0ne,Drama Club,,Teacher,0
Ian Kilonzo, 9,92,67,73,,1,County Level,Drama Club,,Surgeon,0
James Achieng, 11,57,97,58,64,1,National Level,Art Club,Class Representative,Lawyer,0
Samuel Rono, 6,92,78,67,82,0,National Level,Drama Club,,Teacher,0
Nelson Otieno, 12,67,52,63,65,0,County Level,Science Club,Class Representative,Athlete,0
Ann Njoroge, 12,,90,73,91,1,County Level,Art Club,Club Leader,Data Scientist,0
Susan Njoroge, 8,66,,77,69,0,School Level,Drama Club,Club Leader,Teacher,0
Agnes Chege, 12,68,91,77,91,1,School Level,Art Club,Club Leader,Data Scientist,1
Ann Nyakundi, 9,85,69,84,76,1,School Level,Science Club,Club Leader,Data Scientist,0
Stephen Ngoya, 12,83,54,59,77,0,School Level,0ne,,Surgeon,1
Martin Wamuyu, 8,71,51,72,84,0,School Level,Music Club,,Pharmacist,1
Sarah Chebet, 8,59,92,99,97,0,0ne,Drama Club,Class Representative,Accountant,1
Irene Nyambura, 12,72,64,79,,1,0ne,Debate Club,Club Leader,Lawyer,0
Rose Mwikali, 10,,60,99,64,0,School Level,0ne,,Doctor,0
Ian Ngoya, 12,78,88,80,64,0,0ne,Drama Club,Class Representative,Surgeon,0
Eliud Otieno, 8,64,84,77,66,1,County Level,Science Club,Club Leader,Artist,1
Grace Wanjiru, 9,76,100,,65,1,National Level,Debate Club,Club Leader,Pharmacist,0
Martin Wanjiru, 7,56,99,70,58,0,School Level,Art Club,Club Leader,Pharmacist,0
Nelson Mutiso, 11,74,82,66,53,1,County Level,0ne,Class Representative,Engineer,0
Agnes Kilonzo, 12,86,65,67,70,0,County Level,Music Club,,Accountant,1
James Kiplangat, 6,53,63,75,73,1,0ne,Science Club,Class Representative,Artist,1
Paul Ngoya, 8,51,97,58,59,0,School Level,Science Club,Club Leader,Pharmacist,1
Francis Achieng, 7,91,97,84,76,0,0ne,Art Club,,Engineer,1
Susan Juma, 8,70,90,65,63,0,0ne,Art Club,Club Leader,Engineer,0
Mercy Wanjiru, 7,53,72,76,74,1,National Level,Music Club,Club Leader,Doctor,0
Beatrice Nyakundi, 10,98,59,69,92,0,County Level,0ne,Class Representative,Teacher,1
Ian Kirui, 7,56,51,96,58,0,School Level,Debate Club,,Data Scientist,1
Susan Wambui, 8,64,82,62,79,1,0ne,Science Club,Club Leader,Musician,1
Ian Chege, 12,57,,71,54,0,National Level,Science Club,,Artist,0
John Akinyi, 11,74,72,76,61,1,School Level,0ne,Class Representative,Surgeon,0
Joseph Wambui, 7,58,97,53,50,0,School Level,Drama Club,Club Leader,Artist,0
Agnes Achieng, 8,77,79,100,53,0,County Level,Art Club,,Artist,1
Linet Kamau, 12,68,86,95,67,1,National Level,Debate Club,,Surgeon,0
Grace Kibera, 7,,57,55,69,1,National Level,0ne,,Accountant,1
Stella Wamuyu, 8,,71,64,68,1,County Level,Science Club,Class Representative,Surgeon,1
Esther Wangechi, 11,55,67,70,53,0,National Level,Debate Club,Class Representative,Pharmacist,1
Kennedy Otieno, 6,93,56,54,52,1,County Level,Science Club,,Accountant,1
Martin Wamuyu, 9,71,81,94,90,1,National Level,Drama Club,,Accountant,1
Charles Davis, 10,70,,78,56,0,National Level,0ne,Class Representative,Artist,0
Elijah Mutua, 12,60,87,93,61,0,County Level,Music Club,,Accountant,1
Alex Ochieng, 6,96,94,,97,0,School Level,Debate Club,Club Leader,Teacher,0
Linet Onyango, 12,,65,93,63,1,County Level,Science Club,,Accountant,0
Eliud Wangechi, 9,51,64,,83,0,National Level,Science Club,Class Representative,Lawyer,1
Jacinta Juma, 8,65,60,58,,1,National Level,0ne,Class Representative,Lawyer,0
Grace Kilonzo, 7,90,74,,53,0,School Level,Debate Club,Class Representative,Pilot,0
Kevin Makori, 7,74,72,59,55,0,National Level,Debate Club,Club Leader,Data Scientist,1
Mercy Wambui, 9,82,96,85,84,0,0ne,Drama Club,Club Leader,Pilot,0
Paul Simiyu, 9,95,56,87,58,1,School Level,Science Club,Class Representative,Pilot,0
Esther Kiplangat, 12,62,87,91,67,0,County Level,Music Club,,Lawyer,0
Mary Onyango, 7,82,89,54,97,0,School Level,Art Club,Class Representative,Lawyer,0
Faith Kibet, 10,,80,95,59,0,National Level,Art Club,Class Representative,Engineer,1
John Kibet, 7,81,97,51,,0,0ne,Science Club,,Pilot,1
Ian Otieno, 6,87,59,84,89,1,National Level,Art Club,,Teacher,0
Peter Wambui, 7,95,93,89,53,1,National Level,Music Club,,Data Scientist,0
Kennedy Kibet, 9,51,90,57,51,1,0ne,Art Club,,Musician,0
Faith Davis, 8,73,68,80,64,0,National Level,Art Club,Class Representative,Pilot,1
Francis Nyakundi, 12,68,95,,60,1,National Level,Drama Club,,Pilot,1
Dorcas Njoroge, 8,,97,,,0,School Level,0ne,,Accountant,0
Dennis Mwikali, 11,68,92,50,51,1,National Level,Science Club,Class Representative,Artist,1
Grace Kariuki, 7,,99,99,75,1,National Level,Music Club,,Pilot,0
Charles Njoroge, 12,57,88,51,68,0,School Level,Debate Club,Class Representative,Teacher,1
Eliud Wambui, 10,70,57,,64,0,County Level,Debate Club,Club Leader,Teacher,1
David Otieno, 9,54,94,89,97,1,County Level,0ne,Club Leader,Pilot,0
Samuel Rono, 9,51,51,52,59,1,National Level,Art Club,Club Leader,Doctor,1
Hannah Kamau, 12,71,70,,81,0,National Level,Drama Club,,Surgeon,0
Lilian Kibera, 12,88,96,91,71,1,0ne,0ne,Class Representative,Surgeon,0
Lucy Wairimu, 10,83,88,,77,1,0ne,Debate Club,Class Representative,Teacher,1
David Njoroge, 6,51,67,57,65,1,0ne,Drama Club,,Artist,1
Mary Wamuyu, 7,96,67,88,79,1,National Level,Art Club,Club Leader,Lawyer,1
Rose Atieno, 7,66,95,78,69,0,National Level,Music Club,Class Representative,Lawyer,1
Ann Kiprop, 6,69,68,62,86,0,National Level,0ne,,Pharmacist,1
Fredrick Ochieng, 11,76,70,65,82,1,County Level,Debate Club,,Athlete,1
Linet Wangechi, 8,76,90,68,82,0,County Level,Science Club,Club Leader,Data Scientist,1
Faith Nyambura, 9,60,91,,72,1,County Level,Art Club,Club Leader,Artist,0
Samuel Kilonzo, 10,68,61,99,63,1,0ne,0ne,Club Leader,Artist,1
Irene Mutiso, 7,56,57,55,88,0,School Level,Drama Club,,Data Scientist,1
Ian Chirchir, 11,88,96,84,,1,National Level,Art Club,Club Leader,Engineer,0
Susan Kigen, 11,90,76,67,62,0,County Level,0ne,Club Leader,Artist,0
Ann Akinyi, 9,68,,58,52,1,National Level,Music Club,Class Representative,Pilot,0
David Onyango, 10,65,67,73,77,1,County Level,Debate Club,,Engineer,1
Hannah Mwende, 9,71,58,76,53,1,School Level,Science Club,Class Representative,Surgeon,0
Ann Nduati, 10,67,94,56,97,1,0ne,Music Club,,Doctor,0
Andrew Oduor, 10,88,67,69,55,1,National Level,Science Club,,Engineer,1
Sarah Mwikali, 12,82,75,95,89,0,National Level,Music Club,,Athlete,1
Lucy Oduor, 11,72,52,81,80,0,School Level,Science Club,Class Representative,Accountant,1
Nelson Juma, 8,59,65,90,80,1,County Level,Drama Club,Class Representative,Accountant,1
Dennis Onyango, 7,,81,80,93,1,County Level,Debate Club,Club Leader,Surgeon,1
Dennis Makori, 12,56,75,68,88,1,School Level,Debate Club,Club Leader,Data Scientist,1
Susan Wamuyu, 10,78,58,,51,1,National Level,Music Club,,Surgeon,0
Ann Wanjiku, 7,52,94,91,99,1,School Level,Drama Club,Club Leader,Teacher,0
Henry Otieno, 7,90,80,,84,0,National Level,Drama Club,,Data Scientist,1
Hannah Mwende, 6,57,67,75,89,1,County Level,Debate Club,Class Representative,Engineer,1
James Juma, 11,96,75,55,75,1,National Level,Drama Club,Club Leader,Pharmacist,0
Lilian Kilonzo, 10,,61,89,75,0,National Level,0ne,,Doctor,1
Brenda Chege, 6,85,92,76,73,0,0ne,Music Club,Club Leader,Artist,1
Kevin Kamau, 10,77,78,91,79,1,National Level,0ne,Club Leader,Surgeon,0
Nelson Kamau, 6,55,69,95,82,0,County Level,Debate Club,Club Leader,Pilot,1
Rose Doe, 12,54,96,91,51,1,County Level,Art Club,,Surgeon,1
Sarah Wangechi, 11,86,59,88,50,1,National Level,Art Club,Class Representative,Doctor,1
Alex Onyango, 12,66,61,67,67,0,County Level,Music Club,,Data Scientist,1
David Wanjiru, 10,86,77,96,61,0,County Level,Debate Club,Class Representative,Surgeon,0
Kevin Wambui, 9,97,99,53,56,1,County Level,Science Club,Club Leader,Teacher,0
Samuel Kilonzo, 9,61,61,64,89,0,County Level,Art Club,,Data Scientist,1
Rose Chebet, 9,83,70,80,54,0,County Level,0ne,Class Representative,Artist,0
Mercy Kiprop, 12,,83,52,59,1,County Level,Science Club,Club Leader,Doctor,1
Irene Wangechi, 6,57,82,76,100,1,National Level,Art Club,Club Leader,Teacher,1
Mary Rono, 7,97,66,89,63,0,0ne,Science Club,Club Leader,Lawyer,0
Stephen Nduati, 8,97,54,76,82,0,School Level,Music Club,Club Leader,Accountant,1
Eliud Otieno, 11,97,61,52,89,0,National Level,0ne,Class Representative,Artist,1
Nelson Onyango, 6,84,55,83,77,1,School Level,Drama Club,Class Representative,Pilot,1
Charles Achieng, 9,60,78,99,90,0,School Level,Art Club,Class Representative,Pharmacist,0
Ann Wanjiku, 7,90,80,84,59,1,0ne,Debate Club,Club Leader,Pharmacist,0
Henry Doe, 6,79,71,77,80,0,0ne,Debate Club,,Pharmacist,0
Nelson Chebet, 6,74,59,81,,1,School Level,Science Club,Club Leader,Lawyer,0
Dennis Njoroge, 6,58,72,62,63,0,County Level,Science Club,Club Leader,Pilot,1
Fredrick Otieno, 7,79,74,50,86,1,0ne,Debate Club,Club Leader,Data Scientist,0
Ann Kirui, 7,86,,58,88,0,0ne,Science Club,,Lawyer,1
Ann Mutiso, 10,88,,74,88,1,County Level,0ne,Class Representative,Doctor,0
Ann Mwikali, 9,93,79,79,69,1,School Level,Music Club,Class Representative,Musician,0
Francis Chebet, 9,63,67,98,53,0,0ne,Debate Club,,Data Scientist,0
Ann Muthama, 7,95,93,91,64,0,School Level,Debate Club,Class Representative,Pilot,0
Fredrick Chebet, 7,67,74,83,79,0,National Level,Debate Club,,Data Scientist,1
